step_number;time_stamp;limb_initial;limb_final;step_width;step_length;step_time;target_error;message
39;31.541090847909;L;R;0.19207031284776;0.46436585005588;0.82686884989423;-1;free
40;32.324424181242;R;L;0.19985284977785;0.43829233636832;0.71333333333268;-1;free
41;33.121090847908;L;R;0.21449855490592;0.47734195003483;0.80999999999926;-1;free
42;33.90442418124;R;L;0.21000198612858;0.49106849565478;0.82666666666591;-1;free
43;34.728684491104;L;R;0.21416746241518;0.49327115268681;0.79333333333261;-1;free
44;35.498684491103;R;L;0.20605816162133;0.465485092645;0.77092697653001;-1;free
45;36.282017824435;L;R;0.18176725249931;0.47272091140721;0.79666666666594;-1;free
46;37.008684491101;R;L;0.17084226922916;0.44708424215291;0.78333333333262;-1;free
47;37.858684491101;L;R;0.18503777220757;0.45531397733665;0.69999999999936;-1;free
48;38.642017824433;R;L;0.18005788784926;0.51358381233186;0.8799999999992;-1;free
49;39.452017824433;L;R;0.17026108948549;0.47273947992299;0.7699999999993;-1;free
50;40.182017824432;R;L;0.18367579532273;0.47108558588001;0.80666666666593;-1;free
51;40.965351157765;L;R;0.1892622843043;0.4639929867742;0.74333333333266;-1;free
52;41.668684491097;R;L;0.19311427402632;0.43217010602926;0.74333333333266;-1;free
53;42.438471537857;L;R;0.19727622050035;0.4038289439199;0.71666666666601;-1;free
54;43.13744825123;R;L;0.19046198126811;0.468537846857;0.76645371342622;-1;free
55;43.907448251229;L;R;0.20135325570511;0.458533034059;0.71564338004001;-1;free
56;44.719351614209;R;L;0.20677448500033;0.46468019308466;0.80857002964618;-1;free
57;45.489351614208;L;R;0.18231245605356;0.43166575279211;0.74666666666599;-1;Pert: ow (L)
58;46.242684947541;R;L;0.147317405316;0.54230646266911;0.79666666666594;-1;action
59;47.026018280874;L;R;0.1802081429542;0.43932641792271;0.78333333333262;0.1110575132696;target hit
60;47.822684947539;R;L;0.24540289315936;0.4068108409879;0.7699999999993;-1;free
61;48.646018280872;L;R;0.23924115213037;0.51873734846088;0.80666666666593;-1;free
62;49.429800555027;R;L;0.20510729033259;0.49089138864795;0.79711560748854;-1;free
63;50.199800555027;L;R;0.19957121482687;0.478245257282;0.78333333333262;-1;free
64;51.049800555026;R;L;0.20390869481415;0.44541295366262;0.7699999999993;-1;free
65;51.779887148499;L;R;0.22584577641194;0.48795343141528;0.82333333333258;-1;free
66;52.58973687831;R;L;0.22368197399514;0.47303564529685;0.75675326013982;-1;free
67;53.303910603232;L;R;0.18454454783335;0.49695551800038;0.80735678806718;-1;free
68;53.977517154143;R;L;0.17330903022065;0.44203835468268;0.74333333333266;-1;Pert: ow (R)
69;54.207517154143;L;L;0.063712478016859;0.34216393054687;0.57027321757792;0.00617512644032;target hit
70;55.274183820809;L;R;0.34668584698409;0.081110505962363;0.026666666666642;-1;free
71;56.017517154141;R;L;0.32700529926608;0.74754298496094;1.3199999999988;-1;free
72;56.827517154141;L;R;0.21117666502244;0.46930811891448;0.7699999999993;-1;free
73;57.597440355048;R;L;0.20185491268188;0.46428987778442;0.83658986757345;-1;free
74;58.270107206224;L;R;0.19623473524171;0.43496303871426;0.71600018450971;-1;free
